year,territory_raw,territory_level,metric,value
2015,Ловеч,district,rural,49603.0
2016,Ловеч,district,total,130357.5
2016,Ловеч,district,urban,81577.0
2016,Ловеч,district,rural,48780.5
2017,Ловеч,district,total,128091.5
2017,Ловеч,district,urban,80320.5
2017,Ловеч,district,rural,47771.0
2018,Ловеч,district,total,125917.0
2018,Ловеч,district,urban,79139.5
2018,Ловеч,district,rural,46777.5
2019,Ловеч,district,total,123709.5
2019,Ловеч,district,urban,77884.5
2019,Ловеч,district,rural,45825.0
2020,Ловеч,district,total,122518.0
2020,Ловеч,district,urban,76430.0
2020,Ловеч,district,rural,46088.0
2021,Ловеч,district,total,121135.0
2021,Ловеч,district,urban,74861.0
2021,Ловеч,district,rural,46274.0
2022,Ловеч,district,total,114251.0
2022,Ловеч,district,urban,70636.0
2022,Ловеч,district,rural,43616.0
2023,Ловеч,district,total,112790.5
2023,Ловеч,district,urban,69652.5
2023,Ловеч,district,rural,43138.0
2024,Ловеч,district,total,111524.0
2024,Ловеч,district,urban,68737.5
2024,Ловеч,district,rural,42786.5
2025,Ловеч,district,total,110134.5
2025,Ловеч,district,urban,67888.0
2025,Ловеч,district,rural,42246.5
2010,Монтана,district,total,154482.0
2010,Монтана,district,urban,97883.0
2010,Монтана,district,rural,56599.0
2011,Монтана,district,total,147123.0
2011,Монтана,district,urban,93848.0
2011,Монтана,district,rural,53275.0
2012,Монтана,district,total,144823.0
2012,Монтана,district,urban,92716.0
2012,Монтана,district,rural,52107.0
2013,Монтана,district,total,142629.0
2013,Монтана,district,urban,91596.0
2013,Монтана,district,rural,51033.0
2014,Монтана,district,total,140473.0
2014,Монтана,district,urban,90299.0
2014,Монтана,district,rural,50174.0
2015,Монтана,district,total,138269.0
2015,Монтана,district,urban,88292.0
2015,Монтана,district,rural,49977.0
2016,Монтана,district,total,135928.5
2016,Монтана,district,urban,86381.5
2016,Монтана,district,rural,49547.0
2017,Монтана,district,total,133441.5
2017,Монтана,district,urban,85186.0
2017,Монтана,district,rural,48255.5
2018,Монтана,district,total,130925.5
2018,Монтана,district,urban,84016.5
2018,Монтана,district,rural,46909.0
2019,Монтана,district,total,128319.0
2019,Монтана,district,urban,82550.5
2019,Монтана,district,rural,45768.5
2020,Монтана,district,total,126198.0
2020,Монтана,district,urban,80753.0
2020,Монтана,district,rural,45445.0
2021,Монтана,district,total,123787.0
2021,Монтана,district,urban,78980.0
2021,Монтана,district,rural,44807.0
2022,Монтана,district,total,117143.0
2022,Монтана,district,urban,75089.0
2022,Монтана,district,rural,42054.0
2023,Монтана,district,total,115349.0
2023,Монтана,district,urban,73659.0
2023,Монтана,district,rural,41690.0
2024,Монтана,district,total,113631.5
2024,Монтана,district,urban,72250.0
2024,Монтана,district,rural,41381.5
2025,Монтана,district,total,111853.5
2025,Монтана,district,urban,71246.5
2025,Монтана,district,rural,40607.0
2010,Пазарджик,district,total,289262.0
2010,Пазарджик,district,urban,179784.0
2010,Пазарджик,district,rural,109478.0
2011,Пазарджик,district,total,274786.0
2011,Пазарджик,district,urban,170843.0
2011,Пазарджик,district,rural,103943.0
2012,Пазарджик,district,total,272762.0
2012,Пазарджик,district,urban,169773.0
2012,Пазарджик,district,rural,102989.0
2013,Пазарджик,district,total,270504.0
2013,Пазарджик,district,urban,168677.0
2013,Пазарджик,district,rural,101827.0
2014,Пазарджик,district,total,267918.0
2014,Пазарджик,district,urban,167292.0
2014,Пазарджик,district,rural,100626.0
2015,Пазарджик,district,total,265089.5
2015,Пазарджик,district,urban,165502.5
2015,Пазарджик,district,rural,99587.0
2016,Пазарджик,district,total,262222.0
2016,Пазарджик,district,urban,163759.5
2016,Пазарджик,district,rural,98462.5
2017,Пазарджик,district,total,259389.5
2017,Пазарджик,district,urban,162390.0
2017,Пазарджик,district,rural,96999.5
2018,Пазарджик,district,total,256722.0
2018,Пазарджик,district,urban,161060.0
2018,Пазарджик,district,rural,95662.0
2019,Пазарджик,district,total,254127.5
2019,Пазарджик,district,urban,159614.0
2019,Пазарджик,district,rural,94513.5
2020,Пазарджик,district,total,252038.0
2020,Пазарджик,district,urban,158114.0
2020,Пазарджик,district,rural,93924.0
2021,Пазарджик,district,total,249330.0
2021,Пазарджик,district,urban,156239.0
2021,Пазарджик,district,rural,93091.0
2022,Пазарджик,district,total,226917.0
2022,Пазарджик,district,urban,139264.0
2022,Пазарджик,district,rural,87654.0
2023,Пазарджик,district,total,225735.0
2023,Пазарджик,district,urban,138739.0
2023,Пазарджик,district,rural,86996.0
2024,Пазарджик,district,total,224377.5
2024,Пазарджик,district,urban,138203.0
2024,Пазарджик,district,rural,86174.5
2025,Пазарджик,district,total,222335.0
2025,Пазарджик,district,urban,137180.5
2025,Пазарджик,district,rural,85154.5
2010,Перник,district,total,135471.0
2010,Перник,district,urban,102937.0
2010,Перник,district,rural,32534.0
2011,Перник,district,total,132842.0
2011,Перник,district,urban,104610.0
2011,Перник,district,rural,28232.0
2012,Перник,district,total,131113.0
2012,Перник,district,urban,103419.0
2012,Перник,district,rural,27694.0
2013,Перник,district,total,129468.0
2013,Перник,district,urban,102236.0
2013,Перник,district,rural,27232.0
2014,Перник,district,total,127872.0
2014,Перник,district,urban,100916.0
2014,Перник,district,rural,26956.0
2015,Перник,district,total,126252.0
2015,Перник,district,urban,99309.5
2015,Перник,district,rural,26942.5
2016,Перник,district,total,124613.0
2016,Перник,district,urban,97840.5
2016,Перник,district,rural,26772.5
2017,Перник,district,total,123095.5
2017,Перник,district,urban,96981.5
2017,Перник,district,rural,26114.0
2018,Перник,district,total,121650.5
2018,Перник,district,urban,96253.5
2018,Перник,district,rural,25397.0
2019,Перник,district,total,120035.0
2019,Перник,district,urban,95303.5
2019,Перник,district,rural,24731.5
2020,Перник,district,total,119808.0
2020,Перник,district,urban,94267.5
2020,Перник,district,rural,25540.5
2021,Перник,district,total,119224.5
2021,Перник,district,urban,92973.0
2021,Перник,district,rural,26251.5
2022,Перник,district,total,112515.0
2022,Перник,district,urban,88078.0
2022,Перник,district,rural,24437.0
2023,Перник,district,total,111389.0
2023,Перник,district,urban,87132.0
2023,Перник,district,rural,24257.0
2024,Перник,district,total,110459.0
2024,Перник,district,urban,86338.0
2024,Перник,district,rural,24121.0
2025,Перник,district,total,109378.5
2025,Перник,district,urban,85688.5
2025,Перник,district,rural,23690.0
2010,Плевен,district,total,288543.0
2010,Плевен,district,urban,189484.0
2010,Плевен,district,rural,99059.0
2011,Плевен,district,total,268490.0
2011,Плевен,district,urban,178578.0
2011,Плевен,district,rural,89912.0
2012,Плевен,district,total,264917.0
2012,Плевен,district,urban,176282.0
2012,Плевен,district,rural,88635.0
2013,Плевен,district,total,261166.0
2013,Плевен,district,urban,174040.0
2013,Плевен,district,rural,87126.0
2014,Плевен,district,total,257556.0
2014,Плевен,district,urban,171854.0
2014,Плевен,district,rural,85702.0
2015,Плевен,district,total,253867.5
2015,Плевен,district,urban,168991.5
2015,Плевен,district,rural,84876.0
2016,Плевен,district,total,250062.0
2016,Плевен,district,urban,166140.0
2016,Плевен,district,rural,83922.0
2017,Плевен,district,total,246173.5
2017,Плевен,district,urban,164025.5
2017,Плевен,district,rural,82148.0
2018,Плевен,district,total,242294.5
2018,Плевен,district,urban,161998.0
2018,Плевен,district,rural,80296.5
2019,Плевен,district,total,238342.5
2019,Плевен,district,urban,159595.5
2019,Плевен,district,rural,78747.0
2020,Плевен,district,total,234871.5
2020,Плевен,district,urban,156009.0
2020,Плевен,district,rural,78862.5
2021,Плевен,district,total,230869.0
2021,Плевен,district,urban,152491.0
2021,Плевен,district,rural,78378.0
2022,Плевен,district,total,221928.0
2022,Плевен,district,urban,149519.0
2022,Плевен,district,rural,72410.0
2023,Плевен,district,total,219113.5
2023,Плевен,district,urban,147617.0
2023,Плевен,district,rural,71496.5
2024,Плевен,district,total,216603.5
2024,Плевен,district,urban,145891.5
2024,Плевен,district,rural,70712.0
2025,Плевен,district,total,214108.0
2025,Плевен,district,urban,144568.0
2025,Плевен,district,rural,69540.0
2010,Пловдив,district,total,698992.0
2010,Пловдив,district,urban,520776.0
2010,Пловдив,district,rural,178216.0
2011,Пловдив,district,total,682091.0
2011,Пловдив,district,urban,506907.0
2011,Пловдив,district,rural,175184.0
2012,Пловдив,district,total,679872.0
2012,Пловдив,district,urban,506201.0
2012,Пловдив,district,rural,173671.0
2013,Пловдив,district,total,678528.0
2013,Пловдив,district,urban,506519.0
