dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
births_by_sex,2020,Благоевград,oblast,Благоевград,,female,322.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Благоевград,oblast,Благоевград,,total,692.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Благоевград,oblast,Благоевград,,male,323.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Благоевград,oblast,Благоевград,,female,369.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Благоевград,oblast,Благоевград,,total,643.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Благоевград,oblast,Благоевград,,male,304.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Благоевград,oblast,Благоевград,,female,339.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Благоевград,oblast,Благоевград,,total,658.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Благоевград,oblast,Благоевград,,male,338.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Благоевград,oblast,Благоевград,,female,320.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Благоевград,oblast,Благоевград,,total,569.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Благоевград,oblast,Благоевград,,male,291.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Благоевград,oblast,Благоевград,,female,278.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Благоевград,oblast,Благоевград,,total,547.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Благоевград,oblast,Благоевград,,male,277.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Благоевград,oblast,Благоевград,,female,270.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Гоце Делчев,municipality,Благоевград,Гоце Делчев,total,287.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Гоце Делчев,municipality,Благоевград,Гоце Делчев,male,155.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Гоце Делчев,municipality,Благоевград,Гоце Делчев,female,132.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Гоце Делчев,municipality,Благоевград,Гоце Делчев,total,309.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Гоце Делчев,municipality,Благоевград,Гоце Делчев,male,176.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Гоце Делчев,municipality,Благоевград,Гоце Делчев,female,133.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Гоце Делчев,municipality,Благоевград,Гоце Делчев,total,306.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Гоце Делчев,municipality,Благоевград,Гоце Делчев,male,159.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Гоце Делчев,municipality,Благоевград,Гоце Делчев,female,147.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Гоце Делчев,municipality,Благоевград,Гоце Делчев,total,309.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Гоце Делчев,municipality,Благоевград,Гоце Делчев,male,158.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Гоце Делчев,municipality,Благоевград,Гоце Делчев,female,151.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Гоце Делчев,municipality,Благоевград,Гоце Делчев,total,303.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Гоце Делчев,municipality,Благоевград,Гоце Делчев,male,151.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Гоце Делчев,municipality,Благоевград,Гоце Делчев,female,152.0,Pop_1.2.1._birth_DR.xlsx
