dataset,year,residence_group,female_age_group,male_age_group,value,source_file,sheet_name
marriages_age_matrix,2010,В селата,25 - 29,25 - 29,572.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,30 - 34,427.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,35 - 39,112.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,40 - 49,27.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,50 - 59,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,60 +,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,total,563.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,20 - 24,13.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,25 - 29,83.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,30 - 34,223.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,35 - 39,171.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,40 - 49,63.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,50 - 59,9.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,30 - 34,60 +,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,total,266.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,18 - 19,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,20 - 24,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,25 - 29,10.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,30 - 34,53.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,35 - 39,87.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,40 - 49,90.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,50 - 59,20.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,35 - 39,60 +,3.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,total,180.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,20 - 24,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,25 - 29,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,30 - 34,10.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,35 - 39,18.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,40 - 49,80.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,50 - 59,53.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,40 - 49,60 +,16.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,50 - 59,total,110.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,50 - 59,25 - 29,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,50 - 59,35 - 39,3.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,50 - 59,40 - 49,6.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,50 - 59,50 - 59,52.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,50 - 59,60 +,48.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,60 +,total,59.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,60 +,50 - 59,6.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,60 +,60 +,53.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2011,Общо за страната,Под 18,total,304.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,Под 18,под 18,10.0,Pop_4.1.2._Marriages_DR.xlsx,2011
marriages_age_matrix,2011,Общо за страната,Под 18,18 - 19,51.0,Pop_4.1.2._Marriages_DR.xlsx,2011
