group_name,age_group,year,metric,value
Видин,35 - 39,2015,female,27.0
Видин,35 - 39,2016,male,42.0
Видин,35 - 39,2016,female,29.0
Видин,35 - 39,2017,male,43.0
Видин,35 - 39,2017,female,35.0
Видин,35 - 39,2018,male,38.0
Видин,35 - 39,2018,female,24.0
Видин,35 - 39,2019,male,26.0
Видин,35 - 39,2019,female,22.0
Видин,35 - 39,2020,male,25.0
Видин,35 - 39,2020,female,21.0
Видин,35 - 39,2021,male,39.0
Видин,35 - 39,2021,female,31.0
Видин,35 - 39,2022,male,22.0
Видин,35 - 39,2022,female,20.0
Видин,35 - 39,2023,male,23.0
Видин,35 - 39,2023,female,24.0
Видин,35 - 39,2024,male,20.0
Видин,35 - 39,2024,female,19.0
Видин,35 - 39,2025,male,34.0
Видин,35 - 39,2025,female,21.0
Видин,40 - 49,2010,male,23.0
Видин,40 - 49,2010,female,17.0
Видин,40 - 49,2011,male,18.0
Видин,40 - 49,2011,female,7.0
Видин,40 - 49,2012,male,18.0
Видин,40 - 49,2012,female,9.0
Видин,40 - 49,2013,male,20.0
Видин,40 - 49,2013,female,11.0
Видин,40 - 49,2014,male,18.0
Видин,40 - 49,2014,female,11.0
Видин,40 - 49,2015,male,36.0
Видин,40 - 49,2015,female,23.0
Видин,40 - 49,2016,male,37.0
Видин,40 - 49,2016,female,33.0
Видин,40 - 49,2017,male,58.0
Видин,40 - 49,2017,female,41.0
Видин,40 - 49,2018,male,52.0
Видин,40 - 49,2018,female,53.0
Видин,40 - 49,2019,male,51.0
Видин,40 - 49,2019,female,45.0
Видин,40 - 49,2020,male,37.0
Видин,40 - 49,2020,female,23.0
Видин,40 - 49,2021,male,43.0
Видин,40 - 49,2021,female,37.0
Видин,40 - 49,2022,male,43.0
Видин,40 - 49,2022,female,45.0
Видин,40 - 49,2023,male,39.0
Видин,40 - 49,2023,female,34.0
Видин,40 - 49,2024,male,27.0
Видин,40 - 49,2024,female,26.0
Видин,40 - 49,2025,male,33.0
Видин,40 - 49,2025,female,33.0
Видин,50 - 59,2010,male,9.0
Видин,50 - 59,2010,female,5.0
Видин,50 - 59,2011,male,6.0
Видин,50 - 59,2011,female,6.0
Видин,50 - 59,2012,male,5.0
Видин,50 - 59,2012,female,7.0
Видин,50 - 59,2013,male,8.0
Видин,50 - 59,2013,female,8.0
Видин,50 - 59,2014,male,9.0
Видин,50 - 59,2014,female,7.0
Видин,50 - 59,2015,male,6.0
Видин,50 - 59,2015,female,2.0
Видин,50 - 59,2016,male,13.0
Видин,50 - 59,2016,female,6.0
Видин,50 - 59,2017,male,16.0
Видин,50 - 59,2017,female,5.0
Видин,50 - 59,2018,male,18.0
Видин,50 - 59,2018,female,14.0
Видин,50 - 59,2019,male,13.0
Видин,50 - 59,2019,female,5.0
Видин,50 - 59,2020,male,16.0
Видин,50 - 59,2020,female,11.0
Видин,50 - 59,2021,male,27.0
Видин,50 - 59,2021,female,15.0
Видин,50 - 59,2022,male,28.0
Видин,50 - 59,2022,female,17.0
Видин,50 - 59,2023,male,21.0
Видин,50 - 59,2023,female,10.0
Видин,50 - 59,2024,male,20.0
Видин,50 - 59,2024,female,12.0
Видин,50 - 59,2025,male,23.0
Видин,50 - 59,2025,female,19.0
Видин,60 +,2010,male,12.0
Видин,60 +,2010,female,6.0
Видин,60 +,2011,male,9.0
Видин,60 +,2011,female,6.0
Видин,60 +,2012,male,12.0
Видин,60 +,2012,female,8.0
Видин,60 +,2013,male,13.0
Видин,60 +,2013,female,9.0
Видин,60 +,2014,male,8.0
Видин,60 +,2014,female,5.0
Видин,60 +,2015,male,9.0
Видин,60 +,2015,female,6.0
Видин,60 +,2016,male,7.0
Видин,60 +,2016,female,4.0
Видин,60 +,2017,male,8.0
Видин,60 +,2017,female,4.0
Видин,60 +,2018,male,13.0
Видин,60 +,2018,female,9.0
Видин,60 +,2019,male,11.0
Видин,60 +,2019,female,9.0
Видин,60 +,2020,male,6.0
Видин,60 +,2020,female,6.0
Видин,60 +,2021,male,8.0
Видин,60 +,2021,female,7.0
Видин,60 +,2022,male,20.0
Видин,60 +,2022,female,9.0
Видин,60 +,2023,male,9.0
Видин,60 +,2023,female,6.0
Видин,60 +,2024,male,10.0
Видин,60 +,2024,female,7.0
Видин,60 +,2025,male,10.0
Видин,60 +,2025,female,5.0
Враца,Под 18,2010,male,1.0
Враца,Под 18,2010,female,1.0
Враца,Под 18,2011,male,
Враца,Под 18,2011,female,4.0
Враца,Под 18,2012,male,
Враца,Под 18,2012,female,4.0
Враца,Под 18,2013,male,
Враца,Под 18,2013,female,1.0
Враца,Под 18,2014,male,
Враца,Под 18,2014,female,11.0
Враца,Под 18,2015,male,
Враца,Под 18,2015,female,9.0
Враца,Под 18,2016,male,
Враца,Под 18,2016,female,4.0
Враца,Под 18,2017,male,
Враца,Под 18,2017,female,6.0
Враца,Под 18,2018,male,
Враца,Под 18,2018,female,4.0
Враца,Под 18,2019,male,
Враца,Под 18,2019,female,3.0
Враца,Под 18,2020,male,
Враца,Под 18,2020,female,2.0
Враца,Под 18,2021,male,
Враца,Под 18,2021,female,1.0
Враца,Под 18,2022,male,
Враца,Под 18,2022,female,1.0
Враца,Под 18,2023,male,
Враца,Под 18,2023,female,1.0
Враца,18 - 19,2010,male,2.0
Враца,18 - 19,2010,female,16.0
Враца,18 - 19,2011,male,1.0
Враца,18 - 19,2011,female,18.0
Враца,18 - 19,2012,male,1.0
Враца,18 - 19,2012,female,16.0
Враца,18 - 19,2013,male,2.0
Враца,18 - 19,2013,female,10.0
Враца,18 - 19,2014,male,3.0
Враца,18 - 19,2014,female,15.0
Враца,18 - 19,2015,male,1.0
Враца,18 - 19,2015,female,11.0
Враца,18 - 19,2016,male,3.0
Враца,18 - 19,2016,female,10.0
Враца,18 - 19,2017,male,4.0
Враца,18 - 19,2017,female,13.0
Враца,18 - 19,2018,male,5.0
Враца,18 - 19,2018,female,17.0
Враца,18 - 19,2019,male,5.0
Враца,18 - 19,2019,female,20.0
Враца,18 - 19,2020,male,6.0
Враца,18 - 19,2020,female,11.0
Враца,18 - 19,2021,male,
Враца,18 - 19,2021,female,14.0
Враца,18 - 19,2022,male,4.0
Враца,18 - 19,2022,female,12.0
Враца,18 - 19,2023,male,4.0
Враца,18 - 19,2023,female,17.0
Враца,18 - 19,2024,male,4.0
Враца,18 - 19,2024,female,14.0
Враца,18 - 19,2025,male,3.0
Враца,18 - 19,2025,female,14.0
Враца,20 - 24,2010,male,63.0
Враца,20 - 24,2010,female,128.0
Враца,20 - 24,2011,male,56.0
Враца,20 - 24,2011,female,124.0
Враца,20 - 24,2012,male,52.0
Враца,20 - 24,2012,female,117.0
Враца,20 - 24,2013,male,44.0
Враца,20 - 24,2013,female,118.0
Враца,20 - 24,2014,male,50.0
Враца,20 - 24,2014,female,97.0
Враца,20 - 24,2015,male,47.0
Враца,20 - 24,2015,female,101.0
Враца,20 - 24,2016,male,52.0
Враца,20 - 24,2016,female,110.0
Враца,20 - 24,2017,male,39.0
Враца,20 - 24,2017,female,89.0
Враца,20 - 24,2018,male,40.0
Враца,20 - 24,2018,female,86.0
Враца,20 - 24,2019,male,46.0
Враца,20 - 24,2019,female,95.0
Враца,20 - 24,2020,male,35.0
Враца,20 - 24,2020,female,60.0
Враца,20 - 24,2021,male,41.0
Враца,20 - 24,2021,female,81.0
Враца,20 - 24,2022,male,30.0
Враца,20 - 24,2022,female,70.0
Враца,20 - 24,2023,male,38.0
Враца,20 - 24,2023,female,63.0
Враца,20 - 24,2024,male,30.0
Враца,20 - 24,2024,female,64.0
Враца,20 - 24,2025,male,36.0
Враца,20 - 24,2025,female,68.0
Враца,25 - 29,2010,male,120.0
Враца,25 - 29,2010,female,119.0
Враца,25 - 29,2011,male,126.0
Враца,25 - 29,2011,female,97.0
Враца,25 - 29,2012,male,108.0
Враца,25 - 29,2012,female,91.0
Враца,25 - 29,2013,male,115.0
Враца,25 - 29,2013,female,87.0
Враца,25 - 29,2014,male,118.0
Враца,25 - 29,2014,female,95.0
Враца,25 - 29,2015,male,110.0
Враца,25 - 29,2015,female,114.0
Враца,25 - 29,2016,male,113.0
Враца,25 - 29,2016,female,104.0
Враца,25 - 29,2017,male,123.0
Враца,25 - 29,2017,female,124.0
Враца,25 - 29,2018,male,142.0
Враца,25 - 29,2018,female,147.0
Враца,25 - 29,2019,male,115.0
Враца,25 - 29,2019,female,108.0
Враца,25 - 29,2020,male,66.0
Враца,25 - 29,2020,female,89.0
Враца,25 - 29,2021,male,99.0
Враца,25 - 29,2021,female,99.0
Враца,25 - 29,2022,male,81.0
Враца,25 - 29,2022,female,89.0
Враца,25 - 29,2023,male,63.0
Враца,25 - 29,2023,female,81.0
Враца,25 - 29,2024,male,63.0
Враца,25 - 29,2024,female,77.0
Враца,25 - 29,2025,male,71.0
Враца,25 - 29,2025,female,85.0
Враца,30 - 34,2010,male,99.0
Враца,30 - 34,2010,female,61.0
Враца,30 - 34,2011,male,67.0
Враца,30 - 34,2011,female,37.0
Враца,30 - 34,2012,male,75.0
Враца,30 - 34,2012,female,34.0
Враца,30 - 34,2013,male,56.0
Враца,30 - 34,2013,female,34.0
Враца,30 - 34,2014,male,67.0
Враца,30 - 34,2014,female,43.0
Враца,30 - 34,2015,male,76.0
Враца,30 - 34,2015,female,39.0
Враца,30 - 34,2016,male,76.0
Враца,30 - 34,2016,female,50.0
Враца,30 - 34,2017,male,83.0
Враца,30 - 34,2017,female,55.0
Враца,30 - 34,2018,male,101.0
Враца,30 - 34,2018,female,69.0
Враца,30 - 34,2019,male,98.0
Враца,30 - 34,2019,female,87.0
Враца,30 - 34,2020,male,61.0
Враца,30 - 34,2020,female,41.0
Враца,30 - 34,2021,male,111.0
Враца,30 - 34,2021,female,100.0
Враца,30 - 34,2022,male,87.0
Враца,30 - 34,2022,female,68.0
Враца,30 - 34,2023,male,78.0
Враца,30 - 34,2023,female,64.0
